COUNTRY,INDICATOR,LABOUR ASPECT,NATIONALITY,UNIT,GENDER,FREQUENCY,DATA SOURCES,DATA STATUS,TIME_PERIOD,OBS_VALUE,OBS_COMMENTS,DATA CONFIDENTIALITY
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2015,87.6,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2016,87.9,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Total,Annual,,,2014,3.7,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Total,Annual,,,2015,3.4,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Total,Annual,,,2016,3.9,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Total,Annual,,,2017,4.1,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Total,Annual,,,2018,4.3,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Total,Annual,,,2019,4.65,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Total,Annual,,,2011,71.1,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Total,Annual,,,2012,71,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Total,Annual,,,2013,71.2,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Total,Annual,,,2014,70.3,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Total,Annual,,,2015,70.9,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Total,Annual,,,2016,71.2,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Total,Annual,,,2011,47.8,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Total,Annual,,,2012,46.8,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Total,Annual,,,2013,46.3,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Total,Annual,,,2014,46.7,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Total,Annual,,,2015,46.4,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Total,Annual,,,2016,46,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Total,Annual,,,2011,88.2,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Total,Annual,,,2012,88.7,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Total,Annual,,,2013,88.8,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Total,Annual,,,2014,86.8,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Total,Annual,,,2015,87.6,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Total,Annual,,,2016,87.9,,
Bahrain,Working Age Population,Total,Total,Number (#),Female,Annual,,,2011,331390,,
Bahrain,Working Age Population,Total,Total,Number (#),Female,Annual,,,2012,332584,,
Bahrain,Working Age Population,Total,Total,Number (#),Female,Annual,,,2013,345639,,
Bahrain,Working Age Population,Total,Total,Number (#),Female,Annual,,,2014,376427,,
Bahrain,Working Age Population,Total,Total,Number (#),Female,Annual,,,2015,384400,,
Bahrain,Working Age Population,Total,Total,Number (#),Female,Annual,,,2016,396504,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Female,Annual,,,2011,198882,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Female,Annual,,,2012,201937,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Female,Annual,,,2013,205551,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Female,Annual,,,2014,211529,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Female,Annual,,,2015,217252,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Female,Annual,,,2016,224206,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Female,Annual,,,2011,132508,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Female,Annual,,,2012,130647,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Female,Annual,,,2013,140088,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Female,Annual,,,2014,164898,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Female,Annual,,,2015,167148,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Female,Annual,,,2016,172298,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Female,Annual,,,2011,145031,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Female,Annual,,,2012,141374,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Female,Annual,,,2013,148191,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Female,Annual,,,2014,162522,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Female,Annual,,,2015,167375,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Female,Annual,,,2016,172493,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2011,67851,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2012,65239,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2013,66214,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2014,68269,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2015,70091,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2016,72137,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2011,77180,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2012,76135,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2013,81977,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2014,94253,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2015,97284,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2016,100356,,
Bahrain,Unemployed,Total,Total,Number (#),Female,Annual,,,2011,3862,,
Bahrain,Unemployed,Total,Total,Number (#),Female,Annual,,,2012,5184,,
Bahrain,Unemployed,Total,Total,Number (#),Female,Annual,,,2013,7114,,
Bahrain,Unemployed,Total,Total,Number (#),Female,Annual,,,2014,6368,,
Bahrain,Unemployed,Total,Total,Number (#),Female,Annual,,,2015,5904,,
Bahrain,Unemployed,Total,Total,Number (#),Female,Annual,,,2016,6998,,
Bahrain,Unemployed,Total,Citzens,Number (#),Female,Annual,,,2011,3862,,
Bahrain,Unemployed,Total,Citzens,Number (#),Female,Annual,,,2012,5184,,
Bahrain,Unemployed,Total,Citzens,Number (#),Female,Annual,,,2013,7114,,
Bahrain,Unemployed,Total,Citzens,Number (#),Female,Annual,,,2014,6368,,
Bahrain,Unemployed,Total,Citzens,Number (#),Female,Annual,,,2015,5904,,
Bahrain,Unemployed,Total,Citzens,Number (#),Female,Annual,,,2016,6998,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Female,Annual,,,2011,186359,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Female,Annual,,,2012,191210,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Female,Annual,,,2013,197044,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Female,Annual,,,2014,213905,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Female,Annual,,,2015,217025,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Female,Annual,,,2016,224011,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2011,131031,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2012,136698,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2013,139337,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2014,143260,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2015,147161,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Female,Annual,,,2016,152069,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2011,55328,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2012,54512,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2013,57707,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2014,70645,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2015,69864,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Female,Annual,,,2016,71942,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2011,43.8,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2012,42.5,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2013,42.9,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2014,43.2,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2015,43.5,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2016,43.5,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2011,34.1,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2012,32.3,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2013,32.2,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2014,32.3,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2015,32.3,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2016,32.2,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2011,58.2,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2012,58.3,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2013,58.7,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2014,57.2,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2015,58.2,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2016,58.2,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Female,Annual,,,2014,9.2,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Female,Annual,,,2015,8,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Female,Annual,,,2016,9.3,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Female,Annual,,,2017,9.2,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Female,Annual,,,2018,8.7,,
Bahrain,Unemployment Rate,Total,Citzens,Percentage (%),Female,Annual,,,2019,10.7,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Female,Annual,,,2011,42.6,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Female,Annual,,,2012,40.9,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Female,Annual,,,2013,40.9,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Female,Annual,,,2014,41.5,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Female,Annual,,,2015,42,,
Bahrain,Employment to Working Age Population Ratio,Total,Total,Percentage (%),Female,Annual,,,2016,41.7,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Female,Annual,,,2011,32.2,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Female,Annual,,,2012,29.7,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Female,Annual,,,2013,28.8,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Female,Annual,,,2014,29.3,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Female,Annual,,,2015,29.5,,
Bahrain,Employment to Working Age Population Ratio,Total,Citzens,Percentage (%),Female,Annual,,,2016,29.1,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Female,Annual,,,2011,58.2,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Female,Annual,,,2012,58.3,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Female,Annual,,,2013,58.7,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Female,Annual,,,2014,57.2,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Female,Annual,,,2015,58.2,,
Bahrain,Employment to Working Age Population Ratio,Total,Non Citzens,Percentage (%),Female,Annual,,,2016,58.2,,
Bahrain,Working Age Population,Total,Total,Number (#),Male,Annual,,,2011,613593,,
Bahrain,Working Age Population,Total,Total,Number (#),Male,Annual,,,2012,639164,,
Bahrain,Working Age Population,Total,Total,Number (#),Male,Annual,,,2013,663897,,
Bahrain,Working Age Population,Total,Total,Number (#),Male,Annual,,,2014,668548,,
Bahrain,Working Age Population,Total,Total,Number (#),Male,Annual,,,2015,700665,,
Bahrain,Working Age Population,Total,Total,Number (#),Male,Annual,,,2016,743535,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Male,Annual,,,2011,201755,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Male,Annual,,,2012,208618,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Male,Annual,,,2013,212268,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Male,Annual,,,2014,217760,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Male,Annual,,,2015,222413,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Male,Annual,,,2016,228627,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Male,Annual,,,2011,411838,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Male,Annual,,,2012,430546,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Male,Annual,,,2013,451629,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Male,Annual,,,2014,450788,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Male,Annual,,,2015,478252,,
